"PlayerID","gameID","faction","forceOrg","ROW/Subfaction","alliedFaction","warlordTrait","VPs","warlord","listName"
"WJ","0001","Militia & Cults","Crusade","","","World Burner","10","Force Commander",""
"ZA","0002","Space Wolves","Crusade","Hunter-Killer Mission","","Merchant Princeling","8","Mortificator",""
"XG","0003","White Scars","Leviathan","Fury of the Ancients","","Ruthless Tyrant","7","Herald",""
"CJ","0004","Raven Guard","Leviathan","Armoured Spearhead","","Robber Baron","3","Praetor Tribune",""
"ZH","0005","Iron Warriors","Leviathan","Brethren of Iron","Alpha Legion","Robber Baron","9","Centurion",""
"IS","0006","Salamanders","Leviathan","Armoured Spearhead","Death Guard","Princeps of Deceit","15","Master of Signals",""
"BK","0007","Dark Angels","Castellan","The Steel Fist","","Puissant Commander","10","Delegatus",""
"IZ","0008","Solar Auxilia","Castellan","","","Siege Master","14","Strategos",""
"JT","0009","Thousand Sons","Onslaught","Armoured Breakthrough","","Blind Barrage","5","Primus Medicae",""
"RH","0010","Blood Angels","Crusade","Legion Recon Company","","Robber Baron","7","Vigilator",""
"AI","0011","Salamanders","Onslaught","After Isstvan","","Immovable Object","8","Forge Lord",""
"PM","0012","Mechanicum","Castellan","","","Immovable Object","2","Magos Dominus",""
"PA","0013","Iron Warriors","Crusade","Sacrificial Offering","Sons of Horus","Master of the Vanguard","6","Herald",""
"SL","0014","Shattered Legions","Onslaught","Outcast Sons","","Divide to Conquer","9","Herald",""
"DF","0015","Salamanders","Leviathan","","Mechanicum","Paladin of Glory","7","Siege Breaker",""
"CT","0016","Solar Auxilia","Onslaught","","Space Wolves","World Burner","14","Lord Marshal",""
"DG","0017","Thousand Sons","Crusade","Armoured Spearhead","","Divide to Conquer","2","Esoterist",""
"EL","0018","Iron Warriors","Onslaught","Sacrificial Offering","","Marcher Lord","7","Praevian",""
"LW","0019","Raven Guard","Leviathan","Hunter-Killer Mission","","Master of Offence","4","Chaplain",""
"QZ","0020","Solar Auxilia","Leviathan","","Thousand Sons","Marcher Lord","13","Legate Commander",""
"DB","0021","Iron Warriors","Crusade","Drop Assault Vanguard","Blood Angels","Night Attacker","14","Forge Lord",""
"TM","0022","Ultramarines","Castellan","","","Indomitable","12","Primus Medicae",""
"LY","0023","Mechanicum","Onslaught","","","Glorious Renown","6","Magos Prime",""
"PR","0024","Shattered Legions","Castellan","","","Coordinated Assault","9","Primus Nullificator",""
"YV","0025","Blood Angels","Leviathan","Orphans of Betrayal","","Child of Terra","1","Primus Medicae",""
"IF","0026","Salamanders","Castellan","Hunter-Killer Mission","","The Dust of a Thousand Worlds","13","Esoterist",""
"FY","0027","Blood Angels","Castellan","Zone Mortalis Assault Force","","Immovable Object","6","Moritat",""
"JL","0028","Alpha Legion","Castellan","","Militia & Cults","Void Master","7","Forge Lord",""
"YV","0029","Dark Angels","Crusade","","","Perfected Targeting","13","Centurion",""
"DK","0030","White Scars","Leviathan","Sagyar Mazan","","Void Walker","10","Primus Nullificator",""
"FQ","0031","Salamanders","Onslaught","Outcast Sons","","Divide to Conquer","5","Vigilator",""
"HJ","0032","Dark Angels","Crusade","","Militia & Cults","Dread Rites","9","Master of Signals",""
"LS","0033","World Eaters","Leviathan","Armoured Breakthrough","","Lord of the Abyss","11","Champion",""
"GA","0034","Night Lords","Onslaught","Armoured Spearhead","","Robber Baron","15","Esoterist",""
"CY","0035","Alpha Legion","Crusade","Sky Hunter Phalanx","Questoris Knights","Master of Ambush","2","Champion",""
"MF","0036","Blood Angels","Onslaught","","Word Bearers","Predictive Augury","5","Forge Lord",""
"RT","0037","Shattered Legions","Onslaught","","Iron Hands","Lord of the Abyss","13","Champion",""
"FL","0038","Mechanicum","Crusade","Taghmata Omnissiah","Alpha Legion","Conqueror of Cities","8","Magos Reductor Calleb Decima",""
"JX","0039","Space Wolves","Crusade","Orphans of Betrayal","","Coordinated Assault","7","Chaplain",""
"KY","0040","Death Guard","Castellan","Orphans of Betrayal","","Intimidating Presence","6","Praetor Tribune",""
"CS","0041","Ultramarines","Onslaught","Sacrificial Offering","","Legendary Fighter","7","Praetor",""
"JP","0042","Thousand Sons","Crusade","The Guard of the Crimson King","","Paladin of Glory","14","Vigilator",""
"AR","0043","Emperor's Children","Leviathan","","","Master of Offence","13","Delegatus",""
"CQ","0044","Thousand Sons","Leviathan","","Militia & Cults","Master Tactician","13","Herald",""
"ZL","0045","Imperial Fists","Castellan","Sacrificial Offering","","Marcher Lord","8","Forge Lord",""
"ES","0046","White Scars","Castellan","Orbital Assault","","Master of Ambush","1","Siege Breaker",""
"ID","0047","Mechanicum","Leviathan","Legio Cybernetica","","Master of Ambush","8","Secutarii Axiarch",""
"GN","0048","Alpha Legion","Castellan","Hunter-Killer Mission","Dark Angels","Ruthless Tyrant","9","Primus Medicae",""
"BC","0049","Death Guard","Leviathan","Fury of the Ancients","Imperial Fists","Child of Terra","10","Delegatus",""
"NL","0050","Iron Warriors","Castellan","Outcast Sons","","Legendary Fighter","1","Warmonger",""
"WS","0051","Ultramarines","Leviathan","Orphans of Betrayal","Militia & Cults","Master of Offence","11","Moritat",""
"UM","0052","Imperial Fists","Crusade","","White Scars","Lord of the Abyss","1","Delegatus",""
"FA","0053","Shattered Legions","Crusade","Orbital Assault","","World Burner","1","Vigilator",""
"WN","0054","Death Guard","Onslaught","Outcast Sons","","Favoured of Mars","2","Esoterist",""
"IA","0055","Alpha Legion","Crusade","Sky Hunter Phalanx","","Legendary Fighter","11","Warmonger",""
"MS","0056","Blackshields","Crusade","","Raven Guard","Perfected Targeting","7","Esoterist",""
"HH","0057","World Eaters","Onslaught","Angel's Wrath","","Master of Ambush","4","Moritat",""
"OX","0058","Death Guard","Onslaught","","","Perfected Targeting","9","Librarian",""
"HT","0059","Alpha Legion","Castellan","Drop Assault Vanguard","Blackshields","Princeps of Deceit","1","Praetor",""
"GS","0060","Thousand Sons","Leviathan","Hunter-Killer Mission","Solar Auxilia","Night Attacker","9","Champion",""
"LJ","0061","Solar Auxilia","Leviathan","","","Robber Baron","10","Lord Marshal",""
"YX","0062","Militia & Cults","Crusade","","","Glorious Renown","5","Rogue Psyker",""
"FJ","0063","World Eaters","Crusade","Drop Assault Vanguard","Alpha Legion","Target Priority","5","Praetor Tribune",""
"TH","0064","World Eaters","Onslaught","","Questoris Knights","The Death of Flesh","1","Primus Nullificator",""
"HJ","0065","Solar Auxilia","Onslaught","","Alpha Legion","Robber Baron","6","Strategos",""
"DA","0066","Salamanders","Castellan","","","Lord of the Abyss","4","Delegatus",""
"UU","0067","Raven Guard","Crusade","Sacrificial Offering","","Battlefield Analysis","3","Champion",""
"IN","0068","Sons of Horus","Leviathan","Armoured Spearhead","","Bloody Handed","12","Siege Breaker",""
"HA","0069","Emperor's Children","Onslaught","","","Master of Defence","2","Warmonger",""
"AJ","0070","Death Guard","Onslaught","","","Merchant Princeling","1","Delegatus",""
"HB","0071","Word Bearers","Castellan","Orphans of Betrayal","","Perfected Targeting","4","Warmonger",""
"JN","0072","Alpha Legion","Onslaught","","","Blind Barrage","2","Esoterist",""
"IQ","0073","Raven Guard","Crusade","Primarch's Chosen","","Coordinated Assault","2","Praetor Tribune",""
"CZ","0074","Shattered Legions","Onslaught","Sacrificial Offering","World Eaters","Strategic Genius","11","Herald",""
"XK","0075","Alpha Legion","Castellan","Zone Mortalis Assault Force","Emperor's Children","Marcher Lord","2","Siege Breaker",""
"UV","0076","Dark Angels","Leviathan","The Serpent's Bane","","Princeps of Deceit","5","Champion",""
"XH","0077","Solar Auxilia","Castellan","","","Paladin of Glory","1","Legate Commander",""
"AN","0078","Shattered Legions","Onslaught","Orbital Assault","Iron Hands","Beloved of the People","15","Master of Signals",""
"GQ","0079","World Eaters","Onslaught","Brethren of Iron","","Master of Defence","1","Moritat",""
"GL","0080","Word Bearers","Crusade","","","Bloody Handed","14","Esoterist",""
"QV","0081","Blood Angels","Crusade","","Questoris Knights","Merchant Princeling","5","Praetor",""
"QZ","0082","Death Guard","Leviathan","Sacrificial Offering","","Battlefield Analysis","9","Herald",""
"LP","0083","Iron Hands","Crusade","","","Intimidating Presence","9","Warmonger",""
"KF","0084","World Eaters","Leviathan","Sky Hunter Phalanx","Blood Angels","The Dust of a Thousand Worlds","2","Master of Signals",""
"HX","0085","Death Guard","Castellan","","","Inspiring Presence","9","Vigilator",""
"VR","0086","Alpha Legion","Onslaught","Angel's Wrath","Raven Guard","Predictive Augury","3","Delegatus",""
"EK","0087","Death Guard","Castellan","","","Robber Baron","6","Praevian",""
"SD","0088","Solar Auxilia","Castellan","","","Master of Manoeuvre","7","Strategos",""
"MA","0089","Shattered Legions","Leviathan","Sky Hunter Phalanx","World Eaters","Night Attacker","2","Esoterist",""
"KE","0090","Night Lords","Crusade","Fury of the Ancients","Salamanders","Princeps of Deceit","5","Esoterist",""
"MV","0091","Blackshields","Leviathan","","","Inspiring Presence","11","Praetor",""
"AY","0092","Salamanders","Crusade","Sky Hunter Phalanx","","The Death of Flesh","7","Champion",""
"BR","0093","Sons of Horus","Onslaught","Zone Mortalis Assault Force","","Void Master","1","Centurion",""
"DA","0094","Salamanders","Leviathan","","","Indomitable","1","Delegatus",""
"QJ","0095","Word Bearers","Onslaught","Pride of the Legion","","Marcher Lord","3","Siege Breaker",""
"HZ","0096","World Eaters","Onslaught","Orbital Assault","","Target Priority","5","Esoterist",""
"TL","0097","Questoris Knights","Leviathan","","","The Death of Flesh","15","Seneschal",""
"DP","0098","Emperor's Children","Castellan","","Emperor's Children","The Dust of a Thousand Worlds","7","Praevian",""
"IN","0099","Mechanicum","Crusade","","Night Lords","Master Tactician","1","Anacharis Scoria",""
"YY","0100","Ultramarines","Onslaught","Armoured Breakthrough","Death Guard","Master of Offence","7","Herald",""
"US","0101","Blood Angels","Onslaught","Sky Hunter Phalanx","","Legendary Fighter","12","Esoterist",""
"ES","0102","Alpha Legion","Onslaught","","","Paladin of Glory","3","Chaplain",""
"AW","0103","Thousand Sons","Onslaught","Legion Recon Company","","Intimidating Presence","6","Champion",""
"DJ","0104","Space Wolves","Crusade","The Bloodied Claws","","Blind Barrage","7","Centurion",""
"UE","0105","Iron Warriors","Onslaught","","","Ruthless Tyrant","10","Primus Nullificator",""
"EA","0106","Questoris Knights","Castellan","","","Bloody Handed","12","Lord Scion",""
"TX","0107","Alpha Legion","Castellan","Fury of the Ancients","","Master of Offence","2","Moritat",""
"JO","0108","Iron Hands","Castellan","","","Ruthless Tyrant","11","Praetor",""
"GW","0109","White Scars","Onslaught","","Sons of Horus","Favoured of Mars","12","Praevian",""
"WW","0110","Thousand Sons","Crusade","Legion Recon Company","","Conqueror of Cities","8","Mortificator",""
"ZO","0111","Questoris Knights","Crusade","","","Glorious Renown","12","Seneschal",""
"VR","0112","Death Guard","Castellan","Sacrificial Offering","","Uncanny Survivor","8","Forge Lord",""
"TI","0113","World Eaters","Onslaught","","","Master of Offence","1","Moritat",""
"KZ","0114","Space Wolves","Castellan","Sky Hunter Phalanx","","Divide to Conquer","2","Forge Lord",""
"RM","0115","Imperial Fists","Leviathan","Angel's Wrath","Questoris Knights","Bloody Handed","4","Herald",""
"JN","0116","Mechanicum","Crusade","","Emperor's Children","Dread Rites","15","Archmagos Dominus",""
"MI","0117","Iron Hands","Onslaught","After Isstvan","","Puissant Commander","6","Moritat",""
