"gameID","gameSize","mission","deployment"
0001,1250,blood feud,search and destroy
0002,2500,blood feud,search and destroy
0003,2000,war of lies,clash of the line
0004,2000,onslaught,vanguard strike
0005,2000,onslaught,vanguard strike
0006,1600,shatter strike,hammer and anvil
0007,3000,blood feud,hammer and anvil
0008,2200,dominion,hammer and anvil
0009,1000,custom,custom
0010,2000,custom,custom
0011,2500,war of lies,search and destroy
0012,2500,custom,custom
0013,1500,tide of carnage,clash of the line
0014,1500,onslaught,search and destroy
0015,1500,shatter strike,search and destroy
0016,1500,tide of carnage,clash of the line
0017,1500,tide of carnage,hammer and anvil
0018,2500,onslaught,dawn of war
0019,2500,tide of carnage,hammer and anvil
0020,2500,search,search and destroy
0021,2500,tide of carnage,hammer and anvil
0022,2500,tide of carnage,dawn of war
0023,2500,dominion,search and destroy
