"gameID","gameSize","mission","deployment"
"0001","3950","Blood Feud","Ambush"
"0002","3550","Blood Feud","Ambush"
"0003","2000","Shatter Strike","Ambush"
"0004","1450","Tide Of Carnage","Vanguard Strike"
"0005","3250","Onslaught","Dawn Of War"
"0006","1250","War Of Lies","Dawn Of War"
"0007","4200","Dominion","Hammer And Anvil"
"0008","2100","Tide Of Carnage","Vanguard Strike"
"0009","4100","War Of Lies","Dawn Of War"
"0010","3800","Tide Of Carnage","Ambush"
"0011","4900","Shatter Strike","Clash Of The Line"
"0012","3100","War Of Lies","Dawn Of War"
"0013","4450","War Of Lies","Ambush"
"0014","3700","Dominion","Hammer And Anvil"
"0015","2850","Dominion","Ambush"
"0016","3250","Tide Of Carnage","Search And Destroy"
"0017","2300","Tide Of Carnage","Vanguard Strike"
"0018","2800","Tide Of Carnage","Dawn Of War"
"0019","3800","Dominion","Vanguard Strike"
"0020","3600","Blood Feud","Ambush"
"0021","3400","Tide Of Carnage","Dawn Of War"
"0022","2700","Onslaught","Dawn Of War"
"0023","4600","Onslaught","Search And Destroy"
"0024","4900","Onslaught","Hammer And Anvil"
"0025","4200","Tide Of Carnage","Hammer And Anvil"
"0026","2550","Dominion","Dawn Of War"
"0027","3400","Dominion","Dawn Of War"
"0028","1250","Tide Of Carnage","Hammer And Anvil"
"0029","4650","War Of Lies","Search And Destroy"
"0030","1250","Blood Feud","Clash Of The Line"
"0031","1150","War Of Lies","Dawn Of War"
"0032","3450","Onslaught","Hammer And Anvil"
"0033","3950","Onslaught","Ambush"
"0034","1000","Blood Feud","Ambush"
"0035","4600","War Of Lies","Dawn Of War"
"0036","3050","Onslaught","Search And Destroy"
"0037","1350","Shatter Strike","Hammer And Anvil"
"0038","2100","Dominion","Clash Of The Line"
"0039","1100","Tide Of Carnage","Dawn Of War"
"0040","4800","War Of Lies","Search And Destroy"
"0041","2950","War Of Lies","Dawn Of War"
"0042","4100","War Of Lies","Hammer And Anvil"
"0043","1450","Blood Feud","Dawn Of War"
"0044","4050","Shatter Strike","Hammer And Anvil"
"0045","1100","Onslaught","Hammer And Anvil"
"0046","4300","Dominion","Vanguard Strike"
"0047","1350","Shatter Strike","Clash Of The Line"
"0048","2950","Shatter Strike","Clash Of The Line"
"0049","2550","Shatter Strike","Search And Destroy"
"0050","2300","Shatter Strike","Vanguard Strike"
"0051","4950","Onslaught","Ambush"
"0052","3250","War Of Lies","Ambush"
"0053","2100","Tide Of Carnage","Hammer And Anvil"
"0054","4250","Onslaught","Hammer And Anvil"
"0055","5000","Shatter Strike","Clash Of The Line"
"0056","4500","War Of Lies","Ambush"
"0057","2550","Onslaught","Dawn Of War"
"0058","1050","War Of Lies","Search And Destroy"
"0059","4450","Dominion","Ambush"
"0060","3300","Shatter Strike","Dawn Of War"
"0061","3500","Shatter Strike","Ambush"
"0062","3900","War Of Lies","Dawn Of War"
"0063","2550","Shatter Strike","Search And Destroy"
"0064","4550","Blood Feud","Hammer And Anvil"
"0065","4500","Dominion","Vanguard Strike"
"0066","3400","Dominion","Clash Of The Line"
"0067","1400","Shatter Strike","Dawn Of War"
"0068","4100","Blood Feud","Search And Destroy"
"0069","2300","Blood Feud","Vanguard Strike"
"0070","1350","Blood Feud","Vanguard Strike"
"0071","4150","Blood Feud","Dawn Of War"
"0072","3100","War Of Lies","Ambush"
"0073","4000","Shatter Strike","Dawn Of War"
"0074","2400","Dominion","Search And Destroy"
"0075","4450","Shatter Strike","Vanguard Strike"
"0076","1100","Onslaught","Search And Destroy"
"0077","4500","Blood Feud","Ambush"
"0078","4800","Dominion","Ambush"
"0079","4450","Tide Of Carnage","Dawn Of War"
"0080","2750","Onslaught","Hammer And Anvil"
"0081","1000","Blood Feud","Clash Of The Line"
"0082","1300","Blood Feud","Dawn Of War"
