"gameID","faction","forceOrg","ROW/Subfaction","alliedFaction","warlordTrait","VPs","warlord","listName"
"0002 - RS","Questoris Knights","Crusade","","","Master of Defence","5","Archmagos Draykavac",""
"0002 - RS","Space Wolves","Castellan","Ironfire","","Indomitable","2","Esoterist",""
"0002 - RS","Mechanicum","Leviathan","Ordo Reductor","","Inspiring Presence","9","Archmagos Inar Satarael",""
"0002 - RS","Salamanders","Onslaught","The Dark Brethren","","Puissant Commander","2","Praetor Tribune",""
"0002 - RS","Space Wolves","Leviathan","Brethren of Iron","","Blind Barrage","13","Forge Lord",""
"0002 - RS","Iron Warriors","Onslaught","","","Immovable Object","14","Delegatus",""
"0002 - RS","White Scars","Leviathan","Orphans of War","","The Death of Flesh","13","Praetor Tribune",""
"0002 - RS","World Eaters","Onslaught","Headhunter Leviathal","Blackshields","Paladin of Glory","5","Vigilator",""
"0002 - RS","Blood Angels","Castellan","Brethren of Iron","","Master of Manoeuvre","8","Moritat",""
"0002 - RS","Solar Auxilia","Crusade","","","Lord of the Abyss","13","Auxilia Tank Commander",""
"0002 - RS","Word Bearers","Onslaught","Hunter-Killer Mission","","Princeps of Deceit","8","Praetor",""
"0002 - RS","Solar Auxilia","Onslaught","","","Void Master","14","Lord Marshal",""
"0002 - RS","Salamanders","Crusade","The Maru Skara","","Master of Manoeuvre","4","Esoterist",""
"0002 - RS","Ultramarines","Leviathan","","","Robber Baron","1","Primus Medicae",""
"0002 - RS","Blood Angels","Crusade","The Eskaton Imperative","","Battlefield Analysis","12","Centurion",""
"0002 - RS","Dark Angels","Onslaught","","Sons of Horus","Inspiring Presence","1","Mortificator",""
"0002 - RS","Thousand Sons","Crusade","Creeping Death","","Master of Defence","2","Warmonger",""
"0002 - RS","Mechanicum","matrixOfRuin","Legio Cybernetica","","Indomitable","9","Archmagos Inar Satarael",""
"0002 - RS","Death Guard","Leviathan","","","Void Master","4","Centurion",""
"0002 - RS","World Eaters","Crusade","The Covenant of Fire","","Void Walker","3","Esoterist",""
"0002 - RS","Blackshields","Onslaught","Hammerfell Strike Force","","Siege Master","3","Esoterist",""
"0002 - RS","White Scars","Onslaught","Vigil Opertii Mission","Solar Auxilia","Intimidating Presence","7","Moritat",""
"0002 - RS","Death Guard","Castellan","","","Siege Master","1","Praetor",""
"0002 - RS","Iron Warriors","Castellan","","","Night Attacker","11","Primus Nullificator",""
"0002 - RS","Dark Angels","Castellan","","Questoris Knights","Coordinated Assault","11","Mortificator",""
"0002 - RS","White Scars","Onslaught","","","Marcher Lord","2","Praetor",""
"0002 - RS","Dark Angels","Leviathan","The Guard of the Crimson King","Imperial Fists","Master Tactician","6","Delegatus",""
"0002 - RS","Iron Hands","Castellan","Armoured Breakthrough","","Puissant Commander","1","Vigilator",""
"0002 - RS","Emperor's Children","Crusade","","","Master of Ambush","10","Mortificator",""
"0002 - RS","Space Wolves","Onslaught","Hunter-Killer Mission","Dark Angels","Coordinated Assault","5","Praetor Tribune",""
"0002 - RS","Death Guard","Onslaught","","Shattered Legions","Siege Master","2","Forge Lord",""
"0002 - RS","Blackshields","Onslaught","","","Target Priority","1","Delegatus",""
"0002 - RS","Shattered Legions","Onslaught","Zone Mortalis Assault Force","","Master Tactician","11","Vigilator",""
"0002 - RS","Ultramarines","Leviathan","The Head of the Gorgon","Questoris Knights","Bitter Blood","8","Librarian",""
"0002 - RS","Iron Warriors","Castellan","Ironwing Protocol","","Merchant Princeling","3","Warmonger",""
"0002 - RS","Questoris Knights","Leviathan","","","The Dust of a Thousand Worlds","1","Archmagos Draykavac",""
"0002 - RS","Emperor's Children","Leviathan","","","Blind Barrage","14","Champion",""
"0002 - RS","Dark Angels","Onslaught","","","Conqueror of Cities","13","Moritat",""
"0002 - RS","White Scars","Castellan","Chogorian Brotherhood","Emperor's Children","Bitter Blood","1","Praetor Tribune",""
